CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-6916-46,99-001,ciudad capital,zona 1,colegio mixto bilingue amanecer,6a. avenida 2-62 zona 1,,silvia eugenia valdez monterroso de carballo,,diversificado,privado,urbana,temporal titulos,monolingue,matutina,diario(regular),guatemala norte
00-01-6978-46,01-403,ciudad capital,zona 1,instituto mixto miguel de cervantes,2a. calle 9-81,42473635,carlos humberto gonzalez de leon,,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-6988-46,01-403,ciudad capital,zona 1,instituto americano en ciencias de computacion,6a avenida 18-23,22322912,carlos humberto gonzalez de leon,marco antonio castañeda flores,diversificado,privado,urbana,abierta,monolingue,matutina,fin de semana,guatemala norte
00-01-6992-46,01-312,ciudad capital,zona 1,colegio activo bilingue mixto sterling,3a. avenida 13-61,22302880,amado salomon flores perez,jose eduardo gomez rivas,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),guatemala norte
00-01-6994-46,01-305,ciudad capital,zona 1,instituto y academia practica comercial,5a. calle 5-18,22325696,isis irazema canel palma,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-6999-46,01-316,ciudad capital,zona 1,centro cultural de las americas no 3,2a. av. 12-23,22384217,carlos humberto gonzalez de leon,hugo waldemar rivas morales,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7009-46,01-318,ciudad capital,zona 1,liceo mixto en computacion ixchel,5a. avenida 3-79,23164224,leslie azucena monzon tecun,héctor arnulfo castellanos,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7010-46,01-,ciudad capital,zona 1,liceo en computacion ixchel,5av. 3-79 zona 1,23267252,maria felicita roque carrera,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-7010-46,01-,ciudad capital,zona 1,liceo en computacion ixchel,5av. 3-79 zona 1,09442325,maria felicita roque carrera,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-7052-46,01-318,ciudad capital,zona 1,instituto federico crowe,4 avenida 9-66,22517748,leslie azucena monzon tecun,irma leticia bolaños samayoa de martinez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7069-46,,ciudad capital,zona 1,centro industrial no 2 anexo esc no 11 j mariano gonzalez,16 ave 11-47,,,,diversificado,oficial,urbana,cerrada temporalmente,monolingue,doble,diario(regular),guatemala norte
00-01-7080-46,01-317,ciudad capital,zona 1,liceo de computacion siglo 21 no3,13a. 9a. calle-60,22959172,mariano domingo estrada teletor,,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7086-46,01-310,ciudad capital,zona 1,centro tecnologico de computacion la merced s a,5a calle 10-22,22325857,alma salguero de salazar,,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7093-46,01-305,ciudad capital,zona 1,centro tecnico de turismo banca y comercio john glenn,2a. avenida 3-59,22321168,isis irazema canel palma,-----------,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-7102-46,01-627,ciudad capital,zona 1,instituto federico crowe,4a. av. 9-66,22517748,isaura amparo recinos carrillo,irma leticia bolaños samayoa de martinez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-7112-46,01-308,ciudad capital,zona 1,colegio mayb al,5a. calle 0-65,22323065,leonel amilcar rios fuentes,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-7148-46,01-318,ciudad capital,zona 1,colegio mixto cristiano guatemalteco,13a. 2a. calle-30,22323228,leslie azucena monzon tecun,,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7151-46,01-627,ciudad capital,zona 1,colegio practico secretarial,4a. calle 0-35,22328643,isaura amparo recinos carrillo,héctur hugo lima conde,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-7152-46,01-307,ciudad capital,zona 1,colegio practico secretarial,4a. calle 0-35,22328643,norma aracely palomo franco de diaz,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-7154-46,01-627,ciudad capital,zona 1,colegio practico secretarial,4a. calle 0-35,22328643,isaura amparo recinos carrillo,,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-7160-46,01-403,ciudad capital,zona 1,liceo profesional en computacion y ciencias comerciales,2a. av. 10-69,22320092,carlos humberto gonzalez de leon,robin alexander montalvo hernández,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),guatemala norte
00-01-7161-46,01-403,ciudad capital,zona 1,liceo profesional en computacion y ciencias comerciales,2a. av. 10-69,22320092,carlos humberto gonzalez de leon,robin alexander montalvo hernández,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7163-46,01-403,ciudad capital,zona 1,liceo profesional en computacion y ciencias comerciales,2a. av. 10-69,22325955,carlos humberto gonzalez de leon,robin alexander montalvo hernández,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-7184-46,01-317,ciudad capital,zona 1,centro de aprendizaje integral en computacion caic,11 av. 12-13,22533621,mariano domingo estrada teletor,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-7218-46,01-301,ciudad capital,zona 1,liceo tecnico comercial,4ta. av. 5-26,22329118,erick estuardo sanchez archila,oscar leonel charuc choguis,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7221-46,01-403,ciudad capital,zona 1,liceo tecnico comercial,4a. avenida 5-26,22329118,carlos humberto gonzalez de leon,sergia josefina salay de barrera,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-7256-46,01-403,ciudad capital,zona 1,instituto americano en ciencias de computacion,6a. avenida 18-23,22322912,carlos humberto gonzalez de leon,mario antonio castañeda flores,diversificado,privado,urbana,abierta,monolingue,matutina,fin de semana,guatemala norte
00-01-7260-46,01-627,ciudad capital,zona 1,colegio cientifico secretarial guatemalteco,8a. calle 2-29,42082118,isaura amparo recinos carrillo,jorge heriberto estrada castillo,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,guatemala norte
00-01-7261-46,01-627,ciudad capital,zona 1,colegio cientifico secretarial guatemalteco,8a. calle 2-29,42082118,isaura amparo recinos carrillo,jorge heriberto estrada castillo,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,guatemala norte
